num,title,artist,songNum,year,genre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
218,비와 당신,럼블피쉬,46485,2008,Rock,1oRMtkPyKu4VpC2dNZp0th,0.562,0.315,0,-7.929,1,0.0304,0.855,7.51e-06,0.0803,0.131,70.978
219,형,노라조,46863,2009,Rock,3xSEWvU6rh4a8ZGbN965lY,0.424,0.504,6,-4.929,1,0.0284,0.108,0,0.076,0.22,137.628
220,천년의 사랑,박완규,6048,1999,Rock,36HpeuZMRWKAyVaRO8mePe,0.409,0.559,9,-6.388,0,0.0319,0.0785,0,0.0517,0.15,134.029
221,One Love,M.C THE MAX !,62836,2003,Rock,5alMW854ShjDbupOJtaNKC,0.37,0.566,7,-4.781,1,0.0301,0.0293,0,0.057,0.16,140.173
222,가족사진,김진호,87532,2013,Rock,4Nk5zLRi4lmYpeJF7fpPwK,0.255,0.163,0,-8.075,1,0.0348,0.877,1.87e-05,0.118,0.189,79.847
223,사랑.TWO,윤도현,7086,1994,Rock,2qyJJQWSBMYQMVgc2MppGf,0.535,0.207,2,-8.567,1,0.0347,0.818,0,0.086,0.296,72.074
224,금지된 사랑,김경호,5114,1997,Rock,5WpEjkgGioeaFi50mVNQjW,0.547,0.418,6,-7.504,1,0.0297,0.372,0,0.116,0.112,136.062
225,남자를 몰라,버즈,85068,2006,Rock,5HlhynrLSnGBWfZaTOXkGc,0.447,0.854,2,-3.274,1,0.0897,0.021,2.79e-05,0.107,0.582,176.168
226,사계 (하루살이),M.C THE MAX!,92754,2019,Rock,2JJTLtccyOLEqFGMaJEyZv,0.335,0.551,4,-5.136,1,0.0317,0.476,0,0.178,0.205,136.023
227,안아 줘,정준일,87102,2011,Rock,1dAN9YSEram61KezA9X8lx,0.605,0.266,0,-10.461,1,0.033,0.395,0,0.118,0.284,135.948
228,"내 손을 잡아 (드라마""최고의 사랑"")",아이유,58259,2011,Rock,0KVClXxsZEKkyWRNXeRFrE,0.636,0.665,9,-5.012,1,0.0322,0.262,0,0.353,0.411,96.045
